School Code,School Name,Address,Mailing Postal Code,Telephone,Email,Board Code,AreaID
38,RIVER HEBERT DISTRICT ELEMENTARY SCHOOL,4369 HWY 2364369 HIGHWAY 236 KENNETCOOK NS,B0N 1P0,902 362 3300,BRUCEMG@CCRSB.CA,53,134500032
39,RAWDON DISTRICT ELEMENTARY SCHOOL,3713 HWY 354 UPPER RAWDON NS,B0N 2N0,9026326660,NODDINM@CCRSB.CA,53,136900009
39,NEW ROSS CONSOLIDATED SCHOOL,3713 HWY 3543713 HIGHWAY 354 UPPER RAWDON NS,B0N 2N0,902 632 6660,SEARLELM@CCRSB.CA,53,136900009
40,UNIACKE DISTRICT SCHOOL ,551 HWY 1 MOUNT UNIACKE NS,B0N 1Z0,9028665100,WHELANSM@CCRSB.CA,53,400015242
40,DALBRAE ACADEMY,551 HWY 1551 HIGHWAY 1 MOUNT UNIACKE NS,B0N 1Z0,902 866 5100,WALKERD@CCRSB.CA,53,400015242
41,HANTS NORTH RURAL HIGH SCHOOL ,4369 HWY 236 KENNETCOOK NS,B0N 1P0,9023623300,SEARLELM@CCRSB.CA,53,134500032
42,HANTS EAST RURAL HIGH SCHOOL ,2331 HWY 2 MILFORD NS,B0N 1Y0,9027584620,SMITHMT@CCRSB.CA,53,137300107
42,ECOLE BEAUBASSIN,2331 HWY 22331 HIGHWAY 2 MILFORD NS,B0N 1Y0,902 758 4620,SMITHMT@CCRSB.CA,53,137300107
44,COBEQUID EDUCATIONAL CENTRE ,34 LORNE ST TRURO NS,B2N 3K3,9028965700,KAULBACHW@CCRSB.CA,53,267900535
44,DUNCAN MACMILLAN HIGH SCHOOL,34 LORNE ST34 LORNE ST TRURO NS,B2N 3K3,902 896 5700,KAULBACHW@CCRSB.CA,53,267900535
45,TRURO JUNIOR HIGH SCHOOL ,445 YOUNG ST TRURO NS,B2N 7H9,9028965550,MACLEANAM@CCRSB.CA,53,267900535
45,SOUTH WOODSIDE SCHOOL,445 YOUNG ST445 YOUNG ST TRURO NS,B2N 7H9,902 896 5550,MACLEANAM@CCRSB.CA,53,267900535
54,ST. MARY'S ELEMENTARY SCHOOL ,PO BOX 2491276 VICTORIA RD AYLESFORD NS,B0P 1C0,9028474400,SMES@AVRSB.CA,55,182900027
54,SSRSB ALTERNATE PROGRAMS,PO BOX 2491276 VICTORIA RD AYLESFORD NS,B0P 1C0,902 847 4400,SMES@AVRSB.CA,55,182900027
55,SOMERSET AND DISTRICT ELEMENTARY SCHOOL,4339 BROOKLYN ST BERWICK NS,B0P 1E0,9025384670,SDES@AVRSB.CA,55,182600054
55,AUBURN DRIVE HIGH SCHOOL,4339 BROOKLYN ST4339 BROOKLYN ST BERWICK NS,B0P 1E0,902 538 4670,SDES@AVRSB.CA,55,182600054
56,OCEAN VIEW ELEMENTARY SCHOOL ,51 OCEANVIEW SCHOOL RD EASTERN PASSAGE NS,B3G 1J3,9024658670,OVES@HRSB.NS.CA,54,319500293
57,ECOLE ROSE-DES-VENTS ,CP 1196 CHEMIN BEDFORD GREENWOOD N.-E.,B0P 1N0,9027657100,ERDV@CSAP.CA,57,350003214
57,ECOLE DU GRAND-PORTAGE,CP 1196 BEDFORD RD GREENWOOD N.-E.,B0P 1N0,902 765 7100,ERDV@CSAP.CA,57,350003214
58,CAMBRIDGE AND DISTRICT ELEMENTARY SCHOOL,6113 HWY 1 CAMBRIDGE NS,B0P 1G0,9025384680,CADS@AVRSB.CA,55,182200091
58,MACDONALD ELEMENTARY SCHOOL,6113 HWY 16113 HIGHWAY 1 CAMBRIDGE NS,B0P 1G0,902 538 4680,CADS@AVRSB.CA,55,182200091
59,GLOOSCAP ELEMENTARY SCHOOL ,1017 J JORDAN RD CANNING NS,B0P 1H0,9025822010,GES@AVRSB.CA,55,180400029
59,LOCKVIEW HIGH SCHOOL,1017 J JORDAN RD1017 J JORDAN RD CANNING NS,B0P 1H0,902 582 2010,GES@AVRSB.CA,55,180400029
60,GASPEREAU VALLEY ELEMENTARY SCHOOL,2781 GREENFIELD RD WOLFVILLE NS,B4P 2R1,9025426090,GVES@AVRSB.CA,55,186300032
60,DARTMOUTH HIGH SCHOOL,2781 GREENFIELD RD2781 GREENFIELD RD WOLFVILLE NS,B4P 2R1,902 542 6090,GVES@AVRSB.CA,55,186300032
61,L. E. SHAW ELEMENTARY SCHOOL ,486 OAK ISLAND RD AVONPORT NS,B0P 1B0,9025426900,LESES@AVRSB.CA,55,185600060
62,KINGSTON & DISTRICT SCHOOL ,PO BOX 295630 PINE RIDGE AVE KINGSTON NS,B0P 1R0,9027657530,KINGSTON@AVRSB.CA,55,400049977
62,CAVALIER DRIVE SCHOOL,PO BOX 295630 PINE RIDGE AVE KINGSTON NS,B0P 1R0,902 765 7530,KINGSTON@AVRSB.CA,55,400049977
63,ALDERSHOT ELEMENTARY SCHOOL ,446 ALDERSHOT RD KENTVILLE NS,B4N 3A1,9026903820,AES@AVRSB.CA,55,181800059
63,TRURO JUNIOR HIGH SCHOOL,446 ALDERSHOT RD446 ALDERSHOT RD KENTVILLE NS,B4N 3A1,902 690 3820,AES@AVRSB.CA,55,181800059
65,DWIGHT ROSS SCHOOL ,PO BOX 1420949 TREMONT MOUNTAIN RD GREENWOOD NS,B0P 1N0,9027657510,DRES@AVRSB.CA,55,400034340
65,NORTH RIVER ELEMENTARY SCHOOL,PO BOX 1420949 TREMONT MOUNTAIN RD GREENWOOD NS,B0P 1N0,902 765 7510,DRES@AVRSB.CA,55,400034340
67,CENTRAL KINGS RURAL HIGH SCHOOL,6125 HWY 1 CAMBRIDGE NS,B0P 1G0,9025384700,CK@AVRSB.CA,55,182200091
67,ST. AGNES ELEMENTARY SCHOOL,6125 HWY 16125 HIGHWAY 1 CAMBRIDGE NS,B0P 1G0,902 538 4700,CK@AVRSB.CA,55,182200091
68,ECOLE DU CARREFOUR ,201A AV DU PORTAGE DARTMOUTH N.-E.,B2X 3T4,9024337000,ECGH@CSAP.CA,57,319300278
70,HORTON HIGH SCHOOL ,75 GREENWICH RD S WOLFVILLE NS,B4P 2R2,9025426060,HHS@AVRSB.CA,55,186300032
70,HOLLAND ROAD ELEMENTARY SCHOOL,75 GREENWICH RD S75 GREENWICH RD S WOLFVILLE NS,B4P 2R2,902 542 6060,HHS@AVRSB.CA,55,186300032
71,WEST KINGS DISTRICT HIGH SCHOOL,1941 HWY 1 AUBURN NS,B0P 1A0,9028474440,WKDHS@AVRSB.CA,55,183000022
71,ST. MARY'S BAY ACADEMY,1941 HWY 11941 HIGHWAY 1 AUBURN NS,B0P 1A0,902 847 4440,WKDHS@AVRSB.CA,55,183000022
72,PORT WILLIAMS ELEMENTARY SCHOOL,1261 BELCHER ST PORT WILLIAMS NS,B0P 1T0,9025426074,PWES@AVRSB.CA,55,181500061
72,ECOLE ACADIENNE DE TRURO,1261 BELCHER ST1261 BELCHER ST PORT WILLIAMS NS,B0P 1T0,902 542 6074,PWES@AVRSB.CA,55,181500061
73,NEW MINAS ELEMENTARY SCHOOL ,34 JONES RD NEW MINAS NS,B4N 3N1,9026814900,NMES@AVRSB.CA,55,184800124
73,MILLWOOD HIGH SCHOOL,34 JONES RD34 JONES RD NEW MINAS NS,B4N 3N1,902 681 4900,NMES@AVRSB.CA,55,184800124
75,BERWICK AND DISTRICT SCHOOL ,PO BOX 40220 VETERANS DR BERWICK NS,B0P 1E0,9025384720,BADS@AVRSB.CA,55,182600054
75,BEL AYR ELEMENTARY SCHOOL,PO BOX 40220 VETERANS DR BERWICK NS,B0P 1E0,902 538 4720,BADS@AVRSB.CA,55,182600054
79,HILLCREST ACADEMY ,PO BOX 40127 KING ST SHELBURNE NS,B0T 1W0,9028755300,HIA@TCRSB.CA,59,154200082
79,CHESTER AREA MIDDLE SCHOOL,PO BOX 40127 KING ST SHELBURNE NS,B0T 1W0,902 875 5300,HIA@TCRSB.CA,59,154200082
80,FOREST HEIGHTS COMMUNITY SCHOOL,PO BOX 29847 HWY 12 CHESTER BASIN NS,B0J 1K0,9022752700,FHCS@SSRSB.CA,58,256400083
80,SHERWOOD PARK EDUCATION CENTRE,PO BOX 29847 HIGHWAY 12 CHESTER BASIN NS,B0J 1K0,902 275 2700,FHCS@SSRSB.CA,58,256400083
81,WOLFVILLE SCHOOL ,19 ACADIA ST WOLFVILLE NS,B4P 1K8,9025426050,WS@AVRSB.CA,55,186300032
81,PARK WEST SCHOOL,19 ACADIA ST19 ACADIA ST WOLFVILLE NS,B4P 1K8,902 542 6050,WS@AVRSB.CA,55,186300032
82,MEMORIAL COMPOSITE HIGH SCHOOL ,300 MEMORIAL DR SYDNEY MINES NS,B1V 2Y5,9027366233,NICHOLC7@GNSPES.CA,51,66100230
83,MIDDLE RIVER CONSOLIDATED SCHOOL,2248 CABOT TRAIL MIDDLE RIVER NS,B0E 1B0,9022952842,RCORDY@GNSPES.CA,51,56700073
85,TALLAHASSEE COMMUNITY SCHOOL ,168 REDOUBT WAY EASTERN PASSAGE NS,B3G 1M5,9024658650,TCS@HRSB.NS.CA,54,319500293
93,BOULARDERIE ELEMENTARY SCHOOL ,12065 KEMPT RD BOULARDERIE NS,B1X 1J9,9026742716,ANGELACURRIE@GNSPES.CA,51,400021282
93,WOLFVILLE SCHOOL,12065 KEMPT RD12065 KEMPT HEAD RD BOULARDERIE NS,B1X 1J9,902 674 2716,BOULARDERIE@STAFF.EDNET.NS.CA,51,400021282
96,BADDECK ACADEMY ,PO BOX 310320 SHORE RD BADDECK NS,B0E 1B0,9022952359,BARBMAC@GNSPES.CA,51,400028748
96,MACLENNAN MIDDLE HIGH SCHOOL,PO BOX 310320 SHORE RD BADDECK NS,B0E 1B0,902 295 2359,BADDECK@STAFF.EDNET.NS.CA,51,400028748
97,AUBURN DRIVE HIGH SCHOOL ,300 AUBURN DR DARTMOUTH NS,B2W 6E9,9024626900,ADHS@HRSB.NS.CA,54,319301535
98,DR. T. L. SULLIVAN MIDDLE SCHOOL,256 PARK RD FLORENCE NS,B1Y 1N2,9027366273,YORKEC1@GNSPES.CA,51,66000054
98,BOULARDERIE ELEMENTARY SCHOOL,256 PARK RD256 PARK RD FLORENCE NS,B1Y 1N2,902 736 6273,TLSULLIVAN@STAFF.EDNET.NS.CA,51,66000054
99,RICHMOND EDUCATION CENTRE/ACADEMY,40 MACKAY ST40 MACKAY ST FLORENCE NS,B1Y 1M3,902 736 8649,FLORENCE_ELE@STAFF.EDNET.NS.CA,51,66000054
101,BRAS D'OR ELEMENTARY SCHOOL ,10 ALDER PT RD BRAS D'OR NS,B1Y 2K1,9027364000,KUBLEKS@GNSPES.CA,51,400042954
104,BASINVIEW DRIVE COMMUNITY SCHOOL,273 BASINVIEW DR BEDFORD NS,B4A 3X8,9028328450,BDCS@HRSB.NS.CA,54,400041681
107,CABOT EDUCATION CENTRE ,32039 CABOT TRAIL NEIL'S HARBOUR NS,B0C 1N0,9023362266,SIMMSDJ@GNSPES.CA,51,400012690
107,KINGSTON & DISTRICT SCHOOL,32039 CABOT TRAIL32039 CABOT TRAIL NEIL'S HARBOUR NS,B0C 1N0,902 336 2266,CABOT@STAFF.EDNET.NS.CA,51,400012690
110,ST. MARY'S ELEMENTARY SCHOOL,30 REGENT ST30 REGENT ST NORTH SYDNEY NS,B2A 2E6,902 794 2492,THOMPSONJR@STAFF.EDNET.NS.CA,51,67200424
113,SETON ELEMENTARY SCHOOL ,25 WILKIE AVE NORTH SYDNEY NS,B2A 1Y5,9027942419,BRIGGSJ1@GNSPES.CA,51,67200424
113,OXFORD SCHOOL,25 WILKIE AVE25 WILKIE DR NORTH SYDNEY NS,B2A 1Y5,902 794 2419,SETONEL@STAFF.EDNET.NS.CA,51,67200424
117,SYDNEY MINES MIDDLE SCHOOL ,596 MAIN ST SYDNEY MINES NS,B1V 2K8,9027368549,LISAML@GNSPES.CA,51,66100230
117,TRENTON ELEMENTARY SCHOOL,596 MAIN ST596 MAIN ST SYDNEY MINES NS,B1V 2K8,902 736 8549,KURTK@GNSPES.CA,51,66100230
119,PICTOU ELEMENTARY SCHOOL,2 SCHOOL ST2 SCHOOL ST SYDNEY MINES NS,B1V 1R3,902 736 8382,STJOSEPHSM@STAFF.EDNET.NS.CA,51,66100230
129,LAWRENCETOWN CONSOLIDATED SCHOOL,10 MIDDLE RD RR 1 LAWRENCETOWN NS,B0S 1M0,9025844500,LCS@AVRSB.CA,55,400004019
129,MILLWOOD ELEMENTARY SCHOOL,10 MIDDLE RD RR 110 MIDDLE RD LAWRENCETOWN NS,B0S 1M0,902 584 4500,LCS@AVRSB.CA,55,400004019
131,O'CONNELL DRIVE ELEMENTARY SCHOOL,40 O'CONNELL DR PORTERS LAKE NS,B3E 1E8,9028274112,OCDES@HRSB.NS.CA,54,400056979
133,ANNAPOLIS WEST EDUCATION CENTRE,PO BOX 399100 CHAMPLAIN DR ANNAPOLIS ROYAL NS,B0S 1A0,9025323150,AWEC@AVRSB.CA,55,202800049
141,CLARK RUTHERFORD MEMORIAL SCHOOL,PO BOX 70234 SPINNAKER DR CLEMENTSPORT NS,B0S 1E0,9026384800,CRMS@AVRSB.CA,55,400033235
141,COXHEATH ELEMENTARY SCHOOL,PO BOX 70234 SPINNAKER DR CLEMENTSPORT NS,B0S 1E0,902 638 4800,CRMS@AVRSB.CA,55,400033235
143,H. M. MACDONALD ELEMENTARY SCHOOL,2811 HWY 245 MARYVALE NS,B2G 2J1,9028632096,JASON.DAYMAN@SRSB.CA,52,118300007
143,WEYMOUTH CONSOLIDATED SCHOOL,2811 HWY 2452811 HIGHWAY 245 MARYVALE NS,B2G 2J1,902 863 2096,JASON.DAYMAN@SRSB.CA,52,118300007
145,ECOLE ACADIENNE DE POMQUET ,791 RUE TAYLOR POMQUET N.-E.,B2G 2L4,9023865700,EAP@CSAP.CA,57,120500038
149,ST. ANDREWS CONSOLIDATED SCHOOL,3892 HWY 316 ST. ANDREWS NS,B0H 1X0,9028632512,KIRK.JOHNSTONE@SRSB.CA,52,#N/A
149,BARTON CONSOLIDATED SCHOOL,3892 HWY 3163892 HIGHWAY 316 ST ANDREWS NS,B0H 1X0,902 863 2512,SUZANNE.DELANEY@SRSB.CA,52,125100009
152,ST. ANDREW JUNIOR SCHOOL ,2 APPLESEED DR ANTIGONISH NS,B2G 3B6,9028633046,GLENN.AUSTEN@SRSB.CA,52,123900236
156,ECOLE PUBNICO-OUEST ,CP 40811 ROUTE 335 PUBNICO-OUEST N.-E.,B0W 3S0,9027624400,EPO@CSAP.CA,57,227000021
156,BADDECK ACADEMY,CP 40811 HIGHWAY 335 PUBNICO-OUEST N.-E.,B0W 3S0,902 762 4400,EPO@CSAP.CA,57,227000021
160,ECOLE WEDGEPORT ,44 CH DITCHER WEDGEPORT N.-E.,B0W 3P0,9026635000,EWDG@CSAP.CA,57,225400015
160,WESTMOUNT ELEMENTARY SCHOOL,44 CHEMIN DITCHER44 DITCHER RD WEDGEPORT N.-E.,B0W 3P0,902 663 5000,EWDG@CSAP.CA,57,225400015
167,BARRINGTON MUNICIPAL HIGH SCHOOL,PO BOX 40536 OAK PARK RD BARRINGTON NS,B0W 1E0,9026374310,BMHS@TCRSB.CA,59,400035904
175,TOMPKINS MEMORIAL ELEMENTARY SCHOOL,60 MAIN ST RESERVE MINES NS,B1E 1E5,9028493803,MCLEODM2@GNSPES.CA,51,68400054
175,BERWICK AND DISTRICT SCHOOL,60 MAIN ST60 MAIN ST RESERVE MINES NS,B1E 1E5,902 849 3803,TOMPKINS@STAFF.EDNET.NS.CA,51,68400054
182,ROBIN FOOTE ELEMENTARY SCHOOL ,125 SUNNYDALE DR WESTMOUNT NS,B1R 1J4,9025393031,MACDOUS13@GNSPES.CA,51,69400068
182,PARK VIEW EDUCATION CENTRE,125 SUNNYDALE DR125 SUNNYDALE DR WESTMOUNT NS,B1R 1J4,902 539 3031,ROBINFOOTE@STAFF.EDNET.NS.CA,51,69400068
183,MARION BRIDGE SCHOOL ,3845 GABARUS HWY MARION BRIDGE NS,B1K 1A6,9027272980,RUTHCLARKE@GNSPES.CA,51,400029710
183,COLDBROOK AND DISTRICT SCHOOL,3845 GABARUS HWY3845 GABARUS HWY MARION BRIDGE NS,B1K 1A6,902 727 2980,MARIONBRIDGE@STAFF.EDNET.NS.CA,51,400029710
185,SYDNEY RIVER ELEMENTARY SCHOOL,35 PHILLIPS ST SYDNEY RIVER NS,B1S 1M8,9025672144,KMCNENLY@GNSPES.CA,51,69300089
185,WINDSOR ELEMENTARY SCHOOL,35 PHILLIPS ST35 PHILLIP ST SYDNEY RIVER NS,B1S 1M8,902 567 2144,RIVERS@STAFF.EDNET.NS.CA,51,69300089
186,COXHEATH ELEMENTARY SCHOOL ,30 MT. FLORENCE ST COXHEATH NS,B1R 1T8,9025624961,TLEBLAN1@GNSPES.CA,51,69500217
199,PLYMOUTH SCHOOL ,RR 1849 HWY 334 ARCADIA NS,B0W 1B0,9026632000,PS@TCRSB.CA,59,219100044
199,SPRING STREET ACADEMY,RR 1849 HIGHWAY 334 ARCADIA NS,B0W 1B0,902 663 2000,PS@TCRSB.CA,59,219100044
202,MALCOLM MUNROE MEMORIAL MIDDLE SCHOOL,125 KENWOOD DR SYDNEY NS,B1S 1T8,9025644587,SMCAMPBELL@GNSPES.CA,51,68200167
202,ECOLE ROSE-DES-VENTS,125 KENWOOD DR125 KENWOOD DR SYDNEY NS,B1S 1T8,902 564 4587,MMMJHS@STAFF.EDNET.NS.CA,51,68200167
203,RIVERVIEW HIGH SCHOOL ,57 COXHEATH RD SYDNEY NS,B1R 1R4,9025645411,JOEMC@GNSPES.CA,51,68200167
203,ALDERNEY ELEMENTARY SCHOOL,57 COXHEATH RD57 COXHEATH RD SYDNEY NS,B1R 1R4,902 564 5411,RIVERVIEW@STAFF.EDNET.NS.CA,51,68200167
206,CHAMPLAIN ELEMENTARY SCHOOL,183 SUNNYDALE DR183 SUNNYDALE DR WESTMOUNT NS,B1R 1J4,902 564 5621,MACLENNAN_JR@STAFF.EDNET.NS.CA,51,69400068
207,CHESTER DISTRICT ELEMENTARY SCHOOL,PO BOX 368202 DUKE ST CHESTER NS,B0J 1J0,9022752750,CDES@SSRSB.CA,58,258300057
207,ROCKY LAKE JUNIOR HIGH SCHOOL,PO BOX 368202 DUKE ST CHESTER NS,B0J 1J0,902 275 2750,CDES@SSRSB.CA,58,258300057
214,NEW ROSS CONSOLIDATED SCHOOL ,PO BOX 104689 HWY 12 NEW ROSS NS,B0J 2M0,9026896100,NRCS@SSRSB.CA,58,256200009
214,ECOLE SECONDAIRE DE PAR-EN-BAS,PO BOX 104689 HIGHWAY 12 NEW ROSS NS,B0J 2M0,902 689 6100,NRCS@SSRSB.CA,58,256200009
216,CHESTER AREA MIDDLE SCHOOL ,PO BOX 440204 DUKE ST CHESTER NS,B0J 1J0,9022752720,CAMS@SSRSB.CA,58,258300057
216,CITADEL HIGH SCHOOL,PO BOX 440204 DUKE ST CHESTER NS,B0J 1J0,902 275 2720,CAMS@SSRSB.CA,58,258300057
217,ECOLE JOSEPH-DUGAS ,450 CH PATRICE POINTE-DE-L'EGLISE N.-E.,B0W 1M0,9027695430,EJD@CSAP.CA,57,286900013
217,ELIZABETH SUTHERLAND SCHOOL,450 CHEMIN PATRICE450 PATRICE RD POINTE-DE-L'EGLISE N.-E.,B0W 1M0,902 769 5430,EJD@CSAP.CA,57,286900013
218,ECOLE JEAN-MARIE-GAY ,9680 RTE 1 SAULNIERVILLE N.-E.,B0W 2Z0,9027695420,EJMG@CSAP.CA,57,400008115
218,MAPLE RIDGE ELEMENTARY SCHOOL,9680 RTE 19680 HIGHWAY 1 SAULNIERVILLE N.-E.,B0W 2Z0,902 769 5420,EJMG@CSAP.CA,57,400008115
219,ECOLE STELLA-MARIS ,CP 408288 CHEMIN PETER DUGAS METEGHAN N.-E.,B0W 2J0,9026455500,ESM@CSAP.CA,57,288400038
221,ECOLE SAINT-ALBERT ,CP 265155 ROUTE 1 RIVIERE-AUX-SAUMONS N.-E.,B0W 2Y0,9026495600,ESTA@CSAP.CA,57,289200021
