OBJECTID,LOC_ID,WORK_DESC,PROJ_NO,CATEGORY,YEAR
107163,CPLID1463,Interior renovations,CBX01165,Buildings,2017
107164,CPLID1416,Building Recapitalization,CBX01157,Buildings,2017
107165,CPLID999,Play Structure,CP000002,Parks & Playgrounds,2016
107166,CPLID1051,Micro Surfacing,"CR000005
",Roads & Active Transportation,2016
107167,CPLID1204,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2017
107168,CPLID1442,Roof repairs,CBX01272,Buildings,2017
107169,CPLID1443,Major renovation,CB000006,Buildings,2017
107170,CPLID1444,Renovations and Audio Visual system,CBW00978,Buildings,2017
107171,CPLID1446,Roof Repairs,CBX01272,Buildings,2017
107172,CPLID1447,Demolition,CBX01162,Buildings,2017
107173,CPLID1750,Camp Hill fence restoration - detailed design,CP000020,Parks & Playgrounds,2018
107174,CPLID1747,Complete the detailed design of the Wrights Cove Terminal and associated studies,CR000007,Halifax Transit,2018
107175,CPLID1748,Baker Drive Community Park - construction,CP000017,Parks & Playgrounds,2018
107176,CPLID1749,New playground and accessible pathways,CP000018,Parks & Playgrounds,2018
107177,CPLID1751,"Ongoing assessments, repairs and maintenance of HRM public art and monuments",CD990003,Parks & Playgrounds,2018
107178,CPLID1752,"Ongoing assessments, repairs and maintenance of HRM public art and monuments",CD990003,Parks & Playgrounds,2018
107179,CPLID1753,"Ongoing assessments, repairs and maintenance of HRM public art and monuments",CD990003,Parks & Playgrounds,2018
107180,CPLID99,Street Recapitalization,CYX01345,Roads & Streets,2013
107181,CPLID101,Park renewal,CP000002,Parks and Playgrounds,2013
107182,CPLID102,Park renewal,CP000002,Parks and Playgrounds,2013
107183,CPLID103,Park renewal,CP000002,Parks and Playgrounds,2013
107184,CPLID104,Park renewal,CP000002,Parks and Playgrounds,2013
107185,CPLID105,Park renewal,CP000002,Parks and Playgrounds,2013
107186,CPLID106,Park renewal,CP000002,Parks and Playgrounds,2013
107187,CPLID107,New skate park,CP000004,Parks and Playgrounds,2013
107188,CPLID109,New ball field,CP000004,Parks and Playgrounds,2013
107189,CPLID110,Street Recapitalization,CYX01345,Roads & Streets,2013
107190,CPLID111,Street Recapitalization,CYX01345,Roads & Streets,2013
107191,CPLID112,Street Recapitalization,CYX01345,Roads & Streets,2013
107192,CPLID1255,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107193,CPLID1214,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107194,CPLID1267,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107195,CPLID1011,Design work,CT000007,Traffic Improvements,2016
107196,CPLID1225,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107197,CPLID1439,Seating Handrails,CBX01154,Buildings,2017
107198,CPLID1445,Construction,CB000049,Buildings,2017
107199,CPLID15,Street Recapitalization - State of good repair,CR000005,Roads & Streets,2014
107200,CPLID1014,Street improvements,CTX01116,Traffic Improvements,2016
107201,CPLID1235,Street Recapitalization,CR000005,Roads & Active Transportation,2017
107202,CPLID1422,Heating system and HVAC upgrades,CB000069,Buildings,2017
105101,CPLID2162,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105102,CPLID2163,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105103,CPLID2164,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105104,CPLID2165,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105105,CPLID2166,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105106,CPLID2167,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105107,CPLID2168,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105108,CPLID2169,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105109,CPLID2170,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105110,CPLID2171,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105111,CPLID2172,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105112,CPLID2161,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105113,CPLID2173,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105114,CPLID2177,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105115,CPLID2174,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105116,CPLID2175,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105117,CPLID2176,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105118,CPLID2178,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105119,CPLID2179,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105120,CPLID2180,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105121,CPLID2181,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105122,CPLID2182,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105123,CPLID2183,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105124,CPLID2184,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105125,CPLID2185,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105126,CPLID2186,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105127,CPLID2203,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105128,CPLID2200,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105129,CPLID2201,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105130,CPLID2202,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105131,CPLID2204,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105132,CPLID2205,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105133,CPLID2206,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105134,CPLID2207,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105135,CPLID2208,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105136,CPLID2209,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105137,CPLID2210,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105138,CPLID2211,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105139,CPLID2212,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105140,CPLID2216,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105141,CPLID2213,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105142,CPLID2214,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105143,CPLID2215,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105144,CPLID2217,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105145,CPLID2218,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105146,CPLID2219,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105147,CPLID2220,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105148,CPLID2221,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105149,CPLID2222,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105150,CPLID2223,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105151,CPLID2224,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105152,CPLID2225,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105153,CPLID2190,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105154,CPLID2187,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105155,CPLID2188,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105156,CPLID2189,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105157,CPLID2191,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105158,CPLID2192,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105159,CPLID2193,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105160,CPLID2194,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105161,CPLID2195,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105162,CPLID2196,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105163,CPLID2197,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105164,CPLID2198,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105165,CPLID2199,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105166,CPLID2074,Bridge replacement design       ,CRU01077,Roads & Active Transportation,2018
105167,CPLID2075,"Replace timber crib abutments, including detail design",CRU01077,Roads & Active Transportation,2018
105168,CPLID2076,Bridge detail design for bridge replacement,CRU01077,Roads & Active Transportation,2018
105169,CPLID2077,Pedway design and construction,CRU01077,Roads & Active Transportation,2018
105170,CPLID2078,Bridge design,CRU01077,Roads & Active Transportation,2018
105171,CPLID2079,Detail design and repair work,CRU01077,Roads & Active Transportation,2018
105172,CPLID2080,Bridge construction,CRU01077,Roads & Active Transportation,2018
105173,CPLID2081,"Bridge soffit and concrete repairs, joint replacement, including design",CRU01077,Roads & Active Transportation,2018
105174,CPLID2082,Pedestrian bridge replacement design,CRU01077,Roads & Active Transportation,2018
105175,CPLID2083,New Paving,CR000002,Roads & Active Transportation,2018
105176,CPLID2084,New Paving,CR000002,Roads & Active Transportation,2018
105177,CPLID2085,New Paving,CR000002,Roads & Active Transportation,2018
105178,CPLID2086,New Paving,CR000002,Roads & Active Transportation,2018
105179,CPLID2290,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105180,CPLID2287,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105181,CPLID2288,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105182,CPLID2289,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105183,CPLID2291,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105184,CPLID2292,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105185,CPLID2293,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105186,CPLID2294,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105187,CPLID2295,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105188,CPLID2296,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105189,CPLID2297,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105190,CPLID2298,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105191,CPLID2278,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105192,CPLID2275,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105193,CPLID2276,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105194,CPLID2277,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105195,CPLID2279,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105196,CPLID2280,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105197,CPLID2281,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105198,CPLID2282,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105199,CPLID2283,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105200,CPLID2284,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105201,CPLID2285,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105202,CPLID2286,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105203,CPLID2090,New Paving,CR000002,Roads & Active Transportation,2018
105204,CPLID2087,New Paving,CR000002,Roads & Active Transportation,2018
105205,CPLID2088,New Paving,CR000002,Roads & Active Transportation,2018
105206,CPLID2089,New Paving,CR000002,Roads & Active Transportation,2018
105207,CPLID2091,New Paving,CR990001,Roads & Active Transportation,2018
105208,CPLID2092,New Paving,CR990001,Roads & Active Transportation,2018
105209,CPLID2093,New Paving,CR990001,Roads & Active Transportation,2018
105210,CPLID2094,New Paving,CR990001,Roads & Active Transportation,2018
105211,CPLID2095,New Paving,CR990001,Roads & Active Transportation,2018
105212,CPLID2096,New Paving,CR990001,Roads & Active Transportation,2018
105213,CPLID2097,New Paving,CR990001,Roads & Active Transportation,2018
105214,CPLID2098,Guiderail,CRU01079,Roads & Active Transportation,2018
105215,CPLID2229,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105216,CPLID2226,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105217,CPLID2227,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105218,CPLID2228,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105219,CPLID2230,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105220,CPLID2231,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105221,CPLID2232,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105222,CPLID2233,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105223,CPLID2234,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105224,CPLID2235,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105225,CPLID2236,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105226,CPLID2237,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105227,CPLID2238,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105228,CPLID2242,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105229,CPLID2239,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105230,CPLID2240,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105231,CPLID2241,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105232,CPLID2243,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105233,CPLID2244,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105234,CPLID2245,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105235,CPLID2246,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105236,CPLID2247,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105237,CPLID2248,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105238,CPLID2249,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105239,CPLID2250,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105240,CPLID2252,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105241,CPLID2251,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105242,CPLID2253,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105243,CPLID2254,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105244,CPLID2255,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105245,CPLID2256,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105246,CPLID2257,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105247,CPLID2258,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105248,CPLID2259,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105249,CPLID2260,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105250,CPLID2261,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105251,CPLID2262,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105252,CPLID2266,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105253,CPLID2263,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105254,CPLID2264,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105255,CPLID2265,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105256,CPLID2267,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105257,CPLID2268,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105258,CPLID2269,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105259,CPLID2270,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105260,CPLID2271,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105261,CPLID2272,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105262,CPLID2273,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105263,CPLID2274,Asphalt Overlay,CR000009,Roads & Active Transportation,2018
105264,CPLID2153,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105265,CPLID2154,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105266,CPLID2155,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105267,CPLID2156,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105268,CPLID2157,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105269,CPLID2158,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105270,CPLID2159,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105271,CPLID2160,Street Recapitalization,CR000009,Roads & Active Transportation,2018
105272,CPLID620,Street Recapitalization - State of Good Repair,CR000005,Roads & Streets,2015
105273,CPLID617,Street Recapitalization - State of Good Repair,CR000005,Roads & Streets,2015
105274,CPLID618,Street Recapitalization - State of Good Repair,CR000005,Roads & Streets,2015
105275,CPLID621,Street Recapitalization - State of Good Repair,CR000005,Roads & Streets,2015
105276,CPLID2102,Guiderail,CRU01079,Roads & Active Transportation,2018
105277,CPLID2099,Guiderail,CRU01079,Roads & Active Transportation,2018
105278,CPLID2100,Guiderail,CRU01079,Roads & Active Transportation,2018
105279,CPLID2101,Guiderail,CRU01079,Roads & Active Transportation,2018
105280,CPLID2103,Guiderail,CRU01079,Roads & Active Transportation,2018
105281,CPLID2104,Guiderail,CRU01079,Roads & Active Transportation,2018
105282,CPLID2105,Walkway,CRU01079,Roads & Active Transportation,2018
105283,CPLID2106,Walkway,CRU01079,Roads & Active Transportation,2018
105284,CPLID2107,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105285,CPLID2108,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105286,CPLID2109,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105287,CPLID2110,Guiderail,CRU01079,Roads & Active Transportation,2018
105288,CPLID2302,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105289,CPLID2299,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105290,CPLID2300,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105291,CPLID2301,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105292,CPLID2303,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105293,CPLID2304,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105294,CPLID2305,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105295,CPLID2306,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105296,CPLID2307,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105297,CPLID2308,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105298,CPLID2309,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105299,CPLID2310,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105300,CPLID2114,Guiderail,CRU01079,Roads & Active Transportation,2018
105301,CPLID2111,Guiderail,CRU01079,Roads & Active Transportation,2018
105302,CPLID2112,Guiderail,CRU01079,Roads & Active Transportation,2018
105303,CPLID2113,Guiderail,CRU01079,Roads & Active Transportation,2018
105304,CPLID2115,Walkway,CRU01079,Roads & Active Transportation,2018
105305,CPLID2116,Walkway,CRU01079,Roads & Active Transportation,2018
105306,CPLID2117,Walkway,CRU01079,Roads & Active Transportation,2018
105307,CPLID2118,Walkway,CRU01079,Roads & Active Transportation,2018
105308,CPLID2119,Walkway,CRU01079,Roads & Active Transportation,2018
105309,CPLID2120,Walkway,CRU01079,Roads & Active Transportation,2018
105310,CPLID2121,Walkway,CRU01079,Roads & Active Transportation,2018
105311,CPLID2122,Walkway,CRU01079,Roads & Active Transportation,2018
105312,CPLID2314,Chipsealing,CR000009,Roads & Active Transportation,2018
105313,CPLID2311,Micro Surfacing,CR000009,Roads & Active Transportation,2018
105314,CPLID2312,Chipsealing,CR000009,Roads & Active Transportation,2018
105315,CPLID2313,Chipsealing,CR000009,Roads & Active Transportation,2018
105316,CPLID2315,Chipsealing,CR000009,Roads & Active Transportation,2018
105317,CPLID2316,Chipsealing,CR000009,Roads & Active Transportation,2018
105318,CPLID2317,Chipsealing,CR000009,Roads & Active Transportation,2018
105319,CPLID2318,Chipsealing,CR000009,Roads & Active Transportation,2018
105320,CPLID2126,Walkway,CRU01079,Roads & Active Transportation,2018
105321,CPLID2123,Walkway,CRU01079,Roads & Active Transportation,2018
105322,CPLID2124,Walkway,CRU01079,Roads & Active Transportation,2018
105323,CPLID2125,Walkway,CRU01079,Roads & Active Transportation,2018
105324,CPLID2127,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105325,CPLID2128,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105326,CPLID2129,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105327,CPLID2130,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105328,CPLID2131,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105329,CPLID2132,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105330,CPLID2133,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105331,CPLID2134,Retaining Wall,CRU01079,Roads & Active Transportation,2018
105332,CPLID2138,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105333,CPLID2135,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105334,CPLID2136,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105335,CPLID2137,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105336,CPLID2139,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105337,CPLID2140,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105338,CPLID2141,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105339,CPLID2142,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105340,CPLID2143,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105341,CPLID2144,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105342,CPLID2145,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105343,CPLID2146,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105344,CPLID2147,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105345,CPLID2151,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105346,CPLID2148,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105347,CPLID2149,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105348,CPLID2150,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105349,CPLID2152,Sidewalk Renewals,CKU01084,Roads & Active Transportation,2018
105350,CPLID718,Section B of Greenway,CPX01196,Parks & Playgrounds,2015
105351,CPLID719,Greenway Connections,CPX01196,Parks & Playgrounds,2015
105352,CPLID720,Parking Lot Upgrades (St. Margaret's Bay Road),CPX01196,Parks & Playgrounds,2015
105353,CPLID721,Boat Launch Replacement,CPX01331,Parks & Playgrounds,2015
105354,CPLID726,Upgrades,CP000003,Parks & Playgrounds,2015
105355,CPLID723,Backstop and Benches,CP000003,Parks & Playgrounds,2015
105356,CPLID724,Upgrades,CP000003,Parks & Playgrounds,2015
105357,CPLID725,Park Lighting,CP000003,Parks & Playgrounds,2015
105358,CPLID727,Court Infrastructure,CP000003,Parks & Playgrounds,2015
105359,CPLID728,Master Plan Implementation,CP000014,Parks & Playgrounds,2015
105360,CPLID729,Develop Site Plan,CB000030,Buildings,2015
105361,CPLID443,Third floor renovations,CBX01273,Buildings,2013
105362,CPLID445,Sea Wall Repair,CBX01271,Buildings,2014
105363,CPLID446,Wall Repair,CBX01271,Buildings,2014
105364,CPLID447,Driveway for Recreation Centre,CBX01271,Buildings,2014
105365,CPLID448,Roof upgrades and repairs,CBX01272,Buildings,2014
105366,CPLID740,Installation of New Sidewalks,CTU00420,Roads & Active Transportation,2016
