PROJ_NO,PROJ_NAME
CB000005,Bedford West Road Oversizing
CB000029,Bicentennial Theatre Middle Musquodoboit Harbour
CBX01270,Halifax Ferry Terminal
CB000071,Woodside Ferry Terminal Upgrades
CM000008,Fuel Depot Upgrades
CQ000009,Cole Harbour Turf
CTX01127,Cornwallis Park Master Plan Implementation
CTX01126,St. Andrew's Community Centre Renovation
CB000032,Commons Pavilion and Pools
CB000033,Corporate Records Renovation
CP000006,Metro Centre
CB000058,Walkways
CQ000006,Retaining Walls
CQ000007,Fire Station Land Acquisition
CB000010,HRM Depot Upgrades
CB000067,Mechanical (Category 6)
CB000064,St. Mary`s Boat Club Recapitalization
CB000072,Cole Harbour High School Enhancements
CW000002,Oakwood House Recapitalization
CQ000010,Sidewalk Renewal
CWI00967,Structural (Category 4)
CWI00985,Upper Hammonds Plains Community Centre
CWU01065,Scotia Square Facility
CWU01092,Business Park Sign Renewal  & Maintenance
CWU01353,Active Transportation - Strategic Projects
CWU01358,Bedford West Traffic Signals
CWU01064,Road Oversizing - Bedford South CCC
CRU00792,Dynamic Messaging Signs
CTU01085,Beazley Field Grandstands
CTU00419,Power House Recapitalization
CB000018,Quaker House Recapitalization
CB000013,Point Pleasant Park Master Plan Implementation
CPX01347,Multi District Facilities (MDF)-Upgrades (Bundle)
CPX01181,Musquodoboit Harbour Rec Facility (Village Plaza)
CSX01346,Ragged Lake Development
CTR00908,Aerotech Repositioning & Dvlmnt
CP000009,Regional Park Washrooms
CB000050,Bedford Outdoor Pool
CB000043,Alderney Gate Recapitalization(Bundle)
CB000059,BMO Centre
CB000061,Chocolate Lake Community Centre
CW000006,Commons Pool & Pavilion
CWU01361,Otter Lake Equipment
CDG00493,Development Consulting
CP110001,Land Acquisition Otter Lake
CQ300741,Leachate Tank at HWY 101
CBX01161,Burner Installation Hwy101 Landfill
CBX01268,Dredging of Siltation Pond
CP000013,Environment Monitoring Site Work 101 Landfill
CE010004,Half Closure Cell 6 - Otter Lake
CB000047,Biolac System Hwy 101 Landfill
CB000052,Street Lighting
CB000088,Traffic Signal Installation
"CTU00420
",Traffic Signal Rehabilitation
"CRU01077
",Highfield Terminal Upgrade
CW000011,Lacewood Terminal Replacement
CW000009,Artificial Fields
CW000003,Cemetery Upgrades (Bundle)
CD000002,Sandy Lake Wastewater Oversizing
CB000086,Transportation Demand Management Program
CTR00904,Point Pleasant Park Stone Wall Restoration
CW000007,East Preston Recreation Centre
CW000013,Emera Oval
CW000012,Hubbards Recreation Centre
CP000019,Musquodoboit Recreation Facility
CPX01149,North Woodside Community Centre Recapitalization
CW000010,Upper Sackville Recreation Centre Facility
CP000012,Vertical Expansion of Landfill Cells
CD000001,Other Related Road Works
CB000079,Half Closure of Cell 5 -Otter Lake
CB000080,Halifax City Hall Stone Restoration
CB000089,Library Facilities Upgrades
CB000073,Shubenacadie Canal Greenway Trail
CT000010,Mainland Common Artificial Turf Renewal
CM000009,Burnside & City of Lakes Development
CVK01090,Energy Efficiency Projects
CE020001,Consulting - Buildings (Category 0)
CVK01207,Halifax Commons Master Plan & Implementation
CB000082,Park Recapitalization
CM000005,Fire Apparatus Fleet Expansion
CM000001,Point Pleasant Park Upgrades
CB000125,Ice Resurfacer Replacement
CP000016,Corporate Accommodations
CB000001,"Fire Station 2, University Ave. Recapitalization"
CBX01334,Fire Station Functional Improvements
CWU01357,"New Sidewalk
"
CT000012,Bridge Repairs
CB000007,Miller Composting Purchase
CM000013,New Era Recapitalization
CB000014,Rural Depots
CM000014,Downtown Streetscapes - Argyle/Grafton
CW000004,Active Transportation - Strategic Projects
CWWF2,Sports/Ball Fields/Courts - New
CWWF1,Central Library Replacement
CB000074,Active Transportation - Strategic Projectsn
CTX01111,Destination Signage Program
