PARK_ID,PARK_NAME,PARK_TYPE,DEVELOPED
5229,SHADY VISTA DRIVE PARK,Neighbourhood,No
5164,GORDON BELL PARK,Community,Yes
1360,WHIMSICAL LAKE PARK,Neighbourhood,Yes
1438,DEADMAN'S ISLAND PARK,Regional,Yes
5232,UNNAMED PARK,,No
1324,FEETHAM PARK,Neighbourhood,Yes
895,FOX HOLLOW DRIVE PARK,Neighbourhood,No
1210,DARTMOUTH HIGH SCHOOL PARK,Regional,Yes
1215,OLD DALHOUSIE SCHOOL SITE,Community,Yes
7,SCOTT SAUNDERS MEMORIAL PARK,Community,Yes
287,HALIFAX WEST HIGH SCHOOL PARK,Regional,Yes
332,SAMUEL R. BALCOM COMMUNITY CENTRE PARK,Community,Yes
344,GORSEBROOK PARK,District,Yes
362,WANDERERS GROUNDS,District,Yes
363,PUBLIC GARDENS,Regional,Yes
389,SALUKI DRIVE PARK,Neighbourhood,Yes
390,OLEARY DRIVE PARK,Neighbourhood,No
391,OAKFIELD PROVINCIAL PARK,Regional,Yes
393,KELTIC GARDENS PARK,Community,Yes
906,JOHN MARTIN JUNIOR HIGH SCHOOL PARK,Community,Yes
402,NATHAN GREEN SQUARE,PLAZA,Yes
1516,CHAIN LAKE PARK,Community,Yes
73,CHRISTOPHER LANE PARK,Neighbourhood,No
81,SETTLE LAKE PARK,Community,Yes
403,CHEBUCTO LANDING,PLAZA,Yes
411,FENERTY LANDING,Neighbourhood,Yes
415,LONG LAKE DRIVE PARK,Neighbourhood,Yes
416,EISENHAUER PARK,Community,Yes
417,TANTALLON WOODS PARK,Community,Yes
423,UPPER MUSQUODOBOIT PARK,Community,Yes
426,SHEET HARBOUR LIONS RECREATION CENTRE PARK,District,Yes
429,MEAGHERS GRANT PARK,Community,Yes
1971,ROCKINGHAM RIDGE PARK,Neighbourhood,No
2038,PICNIC COVE PARK,Community,Yes
2071,TEACHERY PARK,Community,Yes
2652,TAYLOR DRIVE PARK,Neighbourhood,Yes
3209,LOWER PROSPECT ROAD PARK,Neighbourhood,Yes
2761,SYLVANIA TERRACE PARK,Community,Yes
2873,PORTUGUESE COVE PARK,Community,Yes
778,BASS COURT PARK,Neighbourhood,Yes
339,SOUTH WOODSIDE ELEMENTARY SCHOOL PARK,Community,Yes
3243,LAKE OF THE WOODS PARK,Community,Yes
902,GRAYSON COURT PARK,Neighbourhood,Yes
942,BRAEMAR DRIVE PARK,District,No
954,LAWNSDALE DRIVE PARK,,Yes
967,OAKWOOD PARK,Regional,Yes
2384,VISCOUNT RUN PARK,Community,No
2671,CHURCH STREET PARK,Neighbourhood,No
90,COW BAY LAKE PARK,Community,Yes
600,GORDON J. STEVENS PARK,Community,Yes
2013,GOLF LINKS PARK,Neighbourhood,Yes
3056,SKORA PARK,Regional,Yes
3057,MAHAR DRIVE PARK,Neighbourhood,No
1314,EVELYN WOOD PLACE PARK,Community,Yes
2751,KINGSWOOD DRIVE PARK,Neighbourhood,Yes
32,BELL LAKE PARK,Community,Yes
1242,AARONS WAY PARK,Neighbourhood,No
1302,DUTCH SETTLEMENT PARK,Community,Yes
5100,SMELT BROOK PARK,Community,Yes
5101,MARY BETH BENEDICT MEMORIAL PARK,Community,Yes
5063,ST JOSEPH'S-ALEXANDER MCKAY ELEMENTARY SCHOOL PARK,Community,Yes
33,MAINLAND COMMON,Regional,Yes
1944,GLENFOREST PARK,Neighbourhood,Yes
1950,WILLETT STREET PARK,Neighbourhood,Yes
20,UPPER FLINN PARK,Community,Yes
5118,SHEET HARBOUR ELEMENTARY SCHOOL PARK,Community,Yes
5119,HATCHET LAKE PARK,Community,Yes
5121,PINEHAVEN DRIVE PARK,Community,No
2340,HONEYSUCKLE ROAD PARK,Neighbourhood,No
5083,ROACHES POND BALL DIAMOND PARK,Community,Yes
155,MCINTOSH RUN DISTRICT PARK,District,Yes
5110,SUSSEX DRIVE PARK,Neighbourhood,Yes
5112,OYSTER POND ACADEMY PARK,Community,Yes
5224,BAKER DRIVE COMMUNITY PARK,Community,Yes
5225,HADLEY CRESCENT NEIGHBOURHOOD PARK,Neighbourhood,Yes
3501,CARL MORASH MEMORIAL PARK,District,Yes
3500,ABERDEEN COURT PARK,Community,No
127,ABERDEEN COURT PARK,Neighbourhood,Yes
3587,ECOLE DU CARREFOUR PARK,Community,Yes
3588,ECOLE BOIS-JOLI PARK,Community,Yes
329,SACKVILLE HEIGHTS JUNIOR HIGH SCHOOL PARK,Community,Yes
3589,COOKS BROOK PARK,Community,Yes
5218,UNNAMED PARK,Neighbourhood,No
2647,MAJESTIC AVENUE PARK,Community,No
3478,CYRIL SMITH PARK,Community,Yes
169,GRAND PARADE,PLAZA,Yes
260,OAKMOUNT HOUSE PARK,Neighbourhood,Yes
5084,TERENCE BAY ELEMENTARY SCHOOL PARK,Community,Yes
5064,LINEAR PARK,Regional,Yes
23,ALDER PIPER PARK,Neighbourhood,Yes
2722,DELANEY DRIVE PARK,Neighbourhood,No
2723,SANDY LAKE ROAD PARK,Neighbourhood,No
2724,LIZARD LAKE PARK,Neighbourhood,No
2727,UNNAMED PARK,Neighbourhood,No
2729,CONFEDERATION AVENUE PARK,Community,No
1943,PLATEAU CRESCENT PARK,Neighbourhood,Yes
896,AUDREY'S PARK,Neighbourhood,Yes
172,DALE BENNETT MEMORIAL PARK,Community,Yes
173,MAYBANK PARK,District,Yes
179,BROWNLOW PARK,District,Yes
211,BEAVER BANK MONARCH ELEMENTARY SCHOOL PARK,Community,Yes
907,NORTH DARTMOUTH COMMUNITY GARDEN,Community,Yes
444,GEORGE DIXON CENTRE PARK,District,Yes
1002,OAKWOOD COURT PARK,Neighbourhood,Yes
1021,EAST JEDDORE PARK,Community,Yes
1035,COW BAY ROAD PARK,Community,Yes
1065,CATHERINE FURNESS PARK,Neighbourhood,Yes
1066,SHORE ROAD PARK,Neighbourhood,Yes
1086,JOSEPH HOWE PARK,Community,Yes
1088,DEYOUNG DRIVE PARK,Neighbourhood,Yes
1090,HARMES DRIVE PARK,Neighbourhood,Yes
1605,ARDMORE PARK,Neighbourhood,Yes
162,RAYMOND TAAVEL PARK,Neighbourhood,Yes
996,STARR PARK,Regional,Yes
997,PINE STREET PARK,Neighbourhood,Yes
1036,YETTER PARK,Neighbourhood,Yes
1037,TRAVIS COURT PARK,Neighbourhood,No
1051,FLANDRUM HILL ROAD PARK,Neighbourhood,Yes
1112,BILLY BOLLONG MEMORIAL PARK,Community,Yes
1141,PLEASANT VALLEY PARK,Community,Yes
5062,ST. STEPHEN'S ELEMENTARY SCHOOL PARK,Community,Yes
5226,UNNAMED PARK,Community,No
2658,TURTLE MARSH PARK,Neighbourhood,No
2660,STONEYRIDGE LANE PARK,Neighbourhood,No
2662,STAGE ROAD PARK,Neighbourhood,No
2665,BROOKHILL DRIVE PARK 2,Community,No
5102,EAGLEWOOD ELEMENTARY SCHOOL PARK,Community,Yes
5104,ROCKY LAKE JUNIOR HIGH SCHOOL PARK,District,Yes
5105,GARY MARTIN DRIVE PARK,Regional,Yes
5107,MELVILLE ISLAND LOOKOFF PARK,Community,Yes
5109,ERIC GRAVES MEMORIAL JUNIOR HIGH SCHOOL PARK,Community,Yes
5108,BEL AYR ELEMENTARY SCHOOL PARK,Community,Yes
5222,UNNAMED PARK,Community,No
5223,BRIDGEVIEW DRIVE PARK,Neighbourhood,Yes
516,HAVILL PARK,Neighbourhood,Yes
519,SEAVIEW COMMUNITY PARK,Community,Yes
684,EMERALD ESTATES PARK,Neighbourhood,No
746,MOUNT EDWARD ROAD PARK,Community,Yes
536,VICTORIA PARK,Community,Yes
3394,BEAVER LAKE PARK,Community,No
3395,JADRY COURT PARK,Neighbourhood,Yes
3399,HALFWAY LAKE PARK,Community,No
2342,CHANI DRIVE PARK,Neighbourhood,No
3410,TRANSOM DRIVE PARK,Neighbourhood,Yes
3422,WEST DOVER PARK,Community,Yes
3072,HIGH HEAD TRAIL PARK,District,Yes
3073,COVE ROAD PARK,Neighbourhood,Yes
1862,MONT BLANC TERRACE PARK,Neighbourhood,Yes
360,POINT PLEASANT PARK,Regional,Yes
3054,BEECHVILLE LAKESIDE TIMBERLEA SCHOOL PARK,Community,Yes
387,BEECH HILL ROAD PARK,Community,Yes
388,DEVONPORT AVENUE PARK,Neighbourhood,Yes
2393,KINSMEN PARK,Community,Yes
5085,LYNWOOD DRIVE PARK,Neighbourhood,Yes
5087,MAPLE DRIVE PARK,Neighbourhood,Yes
178,BUCKINGHAM COMMON PARK,Community,Yes
401,HALIFAX NORTH COMMON,Regional,Yes
496,INGLEWOOD CRESCENT PARK,Neighbourhood,Yes
497,FERRY TERMINAL PARK,Regional,Yes
506,WALKER AVENUE PARK,Neighbourhood,Yes
1890,MONTGOMERY COURT PARK,Neighbourhood,Yes
457,LAKE ECHO COMMUNITY CENTRE PARK,District,Yes
5090,WILLIAM KING ELEMENTARY SCHOOL PARK,Community,Yes
5048,SIR JOHN A. MACDONALD HIGH SCHOOL PARK,District,Yes
507,BEDFORD VILLAGE PARK,Neighbourhood,Yes
3492,RIDGEVALE DRIVE PARK 1,Community,Yes
5091,BEDFORD BARRENS,Regional,Yes
5095,WAVERLEY ROAD ELEMENTARY SCHOOL PARK,Community,Yes
6,SIR SANDFORD FLEMING PARK,Regional,Yes
26,REGATTA POINT PARK,Community,Yes
515,CHOCOLATE LAKE PARK,Community,Yes
5079,C. A. BECKETT PARK,Neighbourhood,Yes
5080,MELWOOD AVENUE PARK,Neighbourhood,Yes
5081,WILLIAMS LAKE ROAD POCKET PARK,Community,Yes
137,LAKECREST DRIVE PARK ,Community,Yes
167,WESTWIND RIDGE PARK,Neighbourhood,Yes
1340,PETER BUCKLEY DRIVE PARK,Neighbourhood,Yes
5077,LOWER FLINN PARK,Community,Yes
5078,BI-HI PARK,Community,Yes
2050,BILL DOMPIERRE PARK,Neighbourhood,Yes
2108,SOLUTIONS DRIVE PARK,Neighbourhood,Yes
2133,ARMSTRONG COURT PARK,Neighbourhood,Yes
2162,D. J. BUTLER PARK,Community,Yes
2313,LEGACY COURT PARK,Neighbourhood,Yes
5054,ELLENVALE JUNIOR HIGH/BROOKHOUSE ELEMENTARY PARK,Community,Yes
150,PENHORN LAKE PARK,Community,Yes
5057,WAVERLEY ROAD PARK,Community,No
135,RUSSELL LAKE PARK,Community,Yes
5103,BEDFORD JUNIOR HIGH SCHOOL PARK,Community,Yes
3404,GLEN ARBOUR WAY PARK,Community,Yes
5073,GREEN STREET PARKETTE,Neighbourhood,Yes
5074,ST. ANDREW'S COMMUNITY CENTRE PARK,Regional,Yes
5075,SYCAMORE LANE ELEMENTARY SCHOOL PARK,Neighbourhood,Yes
164,HORSESHOE ISLAND PARK,District,Yes
5049,FIVE BRIDGES JUNIOR HIGH SCHOOL PARK,Community,Yes
5050,JOSEPH GILES ELEMENTARY SCHOOL PARK,Community,Yes
5051,ROBERT KEMP TURNER ELEMENTARY SCHOOL PARK,Community,Yes
5052,SIR ROBERT BORDEN JUNIOR HIGH SCHOOL PARK,Community,Yes
5217,STERLING DRIVE PARK,Neighbourhood,Yes
5220,ALABASTER WAY COMMUNITY PARK,Community,No
810,KINAP CANOE CLUB,Community,Yes
400,WATER STREET PARKETTE,Neighbourhood,Yes
359,STANLEY PARK,Community,Yes
412,RUTLEDGE STREET PARK,Neighbourhood,Yes
413,WATERSTONE RUN PARK,Community,Yes
2425,JUDY ANNE COURT PARK,Neighbourhood,Yes
2428,GLENDALE DRIVE PARK,Community,No
2001,SCOTT MANOR HOUSE,District,Yes
2004,DARTMOUTH ROAD PARK,Community,Yes
5043,SACKVILLE HIGH SCHOOL PARK,District,Yes
5045,CAVALIER DRIVE ELEMENTARY SCHOOL PARK,Community,Yes
5046,GERTRUDE M. PARKER ELEMENTARY SCHOOL PARK,Community,Yes
3060,ATLANTIC MEMORIAL ELEMENTARY SCHOOL PARK,Community,Yes
3064,BRENNANS ROAD PARK,Community,No
473,SPRINGFIELD LAKE RECREATION CENTRE PARK,District,Yes
479,WALLACE LUCAS COMMUNITY CENTRE PARK,District,Yes
483,COLBY VILLAGE RECREATION CENTRE PARK,Community,Yes
1889,BELCHERS MARSH PARK,District,Yes
1628,ISLEVILLE PARK,Community,Yes
1643,MEMORIAL DRIVE TRAIL,Community,Yes
1663,CHEBUCTO ROAD PARK,Neighbourhood,Yes
1665,NICK MEAGHER PARK,Community,Yes
1667,FOSTER PARK,Community,Yes
2965,DEEPRUN DRIVE PARK,Community,Yes
2980,ELBOW LAKE PARK,Neighbourhood,Yes
1624,LOU GODDARD MEMORIAL PARK,Community,Yes
112,MITCHELLS BROOK PARK,Community,No
91,SHORE ROAD LANDS,Community,Yes
1238,LAKE ECHO COMMUNITY PLAY PARK,Community,Yes
1241,CHAMBERLAIN DRIVE PARK,Neighbourhood,Yes
1261,CRATHORNE PARK,Neighbourhood,Yes
1279,CRANBERRY LAKE PARK,Community,Yes
1282,ALPINE DRIVE PARK,Neighbourhood,No
104,COLE HARBOUR COMMON,Regional,Yes
517,CONNAUGHT BATTERY PARK,Community,Yes
462,NORTH PRESTON COMMUNITY CENTRE PARK,Community,Yes
468,SACKVILLE SPORTS STADIUM PARK,District,Yes
1322,CHEVIOT HILLS PARK,Community,Yes
2649,MONARCH RIVENDALE PARK,Community,Yes
2654,DUCK LAKE BROOK GREENWAY PARK,Neighbourhood,Yes
2656,WINDGATE DRIVE PARK,Community,No
5053,MOUNT EDWARD ELEMENTARY SCHOOL PARK,Community,Yes
5055,PRINCE ANDREW HIGH SCHOOL PARK,District,Yes
5056,IAN FORSYTH ELEMENTARY SCHOOL PARK,Community,Yes
3327,WILLARD CHRISTIE MEMORIAL PARK,Community,Yes
3329,MASONS POINT PARK,Neighbourhood,No
2667,BROOKHILL DRIVE PARK 3,Community,No
2672,GRAND LAKE DRIVE PARK,Neighbourhood,Yes
3594,IRA SETTLE PARK,Community,Yes
3600,BAYERS ROAD WINDSOR STREET PARK,Community,Yes
409,GREEN ACRES PARK,Neighbourhood,Yes
3482,DARTMOUTH HARBOUR EAST RECREATION CAMPUS,District,Yes
5060,CRICHTON PARK ELEMENTARY SCHOOL PARK,Community,Yes
5061,HIGHLAND PARK JUNIOR HIGH SCHOOL PARK,District,Yes
5066,LACEWOOD DRIVE PARK,Neighbourhood,No
5067,AFRICVILLE LOOKOFF PARK,Neighbourhood,Yes
5072,SAINT MARY'S ELEMENTARY SCHOOL PARK,Neighbourhood,Yes
2906,LEWIS LAKE TERRACE PARK,Community,No
695,SCOTSDALE PARK,Community,No
727,LISA ANN DRIVE PARK,Neighbourhood,No
765,ROBLEA DRIVE PARK,Neighbourhood,Yes
774,SALMON RUN PARK,Neighbourhood,No
3284,UNNAMED PARK,Community,No
133,SHUBIE PARK,Regional,Yes
140,CLEMENT STREET PARK,Neighbourhood,Yes
143,GREELY COURT PARK,Neighbourhood,Yes
781,OCEANIC DRIVE PARK,Neighbourhood,No
796,BASTIAN POINT ROAD PARK,Neighbourhood,No
801,DAVID ALLEN DRIVE PARK,Neighbourhood,No
803,RUSSELL DRIVE PARK,Neighbourhood,No
431,BEAVER BANK KINSAC PARK,District,Yes
434,BLOOMFIELD CENTRE PARK,Community,Yes
86,HUMBER PARK,Community,Yes
87,MIDDLE PARK,Community,Yes
1232,MARTINS PARK,Neighbourhood,Yes
1352,OLD COACH ROAD TRAIL PARK,Community,Yes
131,WOODSIDE AREA PARK,Regional,
1691,SAUNDERS PARK,Neighbourhood,Yes
1693,LARRY O'CONNELL PARK,Community,Yes
1949,SYBYL COURT PARK,Neighbourhood,No
1969,GLENBOURNE PARK,Community,Yes
129,SOUTHDALE NORTH WOODSIDE ELEMENTARY SCHOOL PARK,Community,Yes
813,EVERGREEN CRESCENT PARK,Neighbourhood,No
2860,FLAT LAKE PARK,Community,Yes
2921,COLLINS ROAD PARK,Neighbourhood,No
2930,EAST DOVER VILLAGE GREEN PARK,Community,Yes
2987,ABBEY ROAD PARK,Community,Yes
3058,PROSPECT BAY VIEW PARK,Community,No
3065,HAGES LANE PARK,Community,Yes
3112,WENDY'S MEADOW PARK,Neighbourhood,No
3114,SARAH INGRAHAM DRIVE PARK,Neighbourhood,No
5173,WILLIAM ROSS PARK,Community,Yes
2562,MELTZER COMMON PARK,Community,Yes
5170,DEVILS ISLAND VIEW PARK,,No
5171,BIRCH HILL LAKE PARK,Community,No
815,SALTWATER LAKE PARK,Neighbourhood,No
816,MAIN STREET CORNER PARK,Community,Yes
857,ROLEIKA DRIVE PARK,Neighbourhood,Yes
28,ARNOLD WHITWORTH PARK,Neighbourhood,Yes
30,BEAZLEY PARK,District,Yes
151,MILLWOOD COMMON PARK,District,Yes
152,MEADOWBROOK PARK,Community,Yes
153,MARJORIE DRIVE PARK,Neighbourhood,Yes
154,EDWARD DRILLIO PARK,Community,Yes
218,SPRINGFIELD LAKE ROAD PARK,Community,Yes
531,DAUPHINEES POND PARK,Community,Yes
5021,COLE HARBOUR DISTRICT HIGH SCHOOL PARK,District,Yes
495,BRUCE DRIVE PARK,Neighbourhood,Yes
2752,VOYAGEUR WAY PARK,Community,Yes
2753,THOMPSONS POND PARK,Community,Yes
2759,BLUE FOREST LANE PARK,Neighbourhood,No
2768,GREENHILL ROAD PARK,Neighbourhood,Yes
2782,SPENCER HOUSE PARK,Community,Yes
2810,NADINE DRIVE PARK,Neighbourhood,Yes
2835,SCHMIDT LAKE PARK,Community,Yes
2858,UNNAMED PARK,Community,Yes
2862,SEABRIGHT PARK,Neighbourhood,No
2892,OLDHAM ROAD PARK,Neighbourhood,Yes
2904,LEEWARD AVENUE PARK,Community,Yes
1285,LANGDON DRIVE PARK,Neighbourhood,Yes
621,JOHN GRANT PARK,Community,Yes
649,CONROD BEACH ROAD PARK,Neighbourhood,Yes
652,GRAND DESERT PARK,Community,Yes
661,MAYNARD LAKE PARK,Community,Yes
687,GREEN MEADOWS PARK,Neighbourhood,No
1466,TIMBERLEA VILLAGE PARK,Community,Yes
1468,GOVERNORS GLEN PARK,Community,Yes
5166,HOLLAND ROAD ELEMENTARY SCHOOL PARK,Community,Yes
5167,UNNAMED PARK,,No
5168,ALBANY TERRACE PARK,Neighbourhood,Yes
521,TERENCE BAY PLAYGROUND,Neighbourhood,Yes
523,YEADON GREEN PARK,Community,Yes
525,WILCOT LANE PARK,Neighbourhood,Yes
526,MARY LAWSON PARK,Community,Yes
532,MUNROE PARK,Neighbourhood,Yes
535,ANDREW COBB PARK,Community,Yes
537,BREAKERS DISTRICT PARK,District,Yes
1406,PARTRIDGE NEST DRIVE PARK,Neighbourhood,Yes
1416,SALMON RIVER DRIVE PARK,Neighbourhood,Yes
1417,DEERMIST DRIVE PARK,Neighbourhood,No
1423,BLUEROCK ROAD PARK,Community,No
1425,SANDY LANE PARK,Neighbourhood,No
5097,LAKEFRONT CONSOLIDATED ELEMENTARY SCHOOL PARK,Community,Yes
177,CAPILANO COMMON PARK,Community,Yes
2679,THOMPSON DRIVE PARK,Neighbourhood,Yes
