OBJECTID,COLLECT,COLL_AREA,SDATE,WR_COMMENT,CONTRACTOR,UNIQUE_ID,SACC,SOURCE,RECYCLEFRQ,CONTACT_PH,ORG_PILOT,COLL_SCHED,Shape__Area,Shape__Length
27,MONDAY,AREA 2,2011-09-08T00:00:00.000Z, ,REgroup,7,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area II,14485634.8710938,31625.2201342512
28,WEDNESDAY,AREA 2,2003-04-28T00:00:00.000Z, ,REgroup,13,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area II,26347948.8789063,33008.0423668269
29,THURSDAY,AREA 7,2008-05-30T00:00:00.000Z, ,Leo J Beazley,42,Interactive,Solid Waste,Bi-Weekly Zone A,465-6053, ,Area II,216310232.296875,100530.125129485
30,WEDNESDAY,AREA 4,2003-04-28T00:00:00.000Z, ,Green For Life,26,Interactive,Solid Waste,Bi-Weekly Zone A,902-468-9111, ,Area II,355187278.660156,93343.8622618835
31,FRIDAY,AREA 1,2001-07-23T00:00:00.000Z, ,REgroup,5,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area I,66321249.8476563,61219.2451640638
32,TUESDAY,AREA 8,2015-07-07T00:00:00.000Z, ,Eastern Shore Cartage,51,Interactive,Solid Waste,Bi-Weekly Zone A,885-2382, ,Area II,1010232744.90234,137051.59988682
33,THURSDAY,AREA 5,2015-10-26T00:00:00.000Z, ,Green For Life,35,Interactive,Solid Waste,Bi-Weekly Zone B,902-468-9111,Y,Area I,15508846.8320313,21655.0886814005
34,THURSDAY,AREA 1,2001-07-23T00:00:00.000Z, ,REgroup,4,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area I,46665857.5664063,31606.8430351991
35,THURSDAY,AREA 3,2001-07-23T00:00:00.000Z, ,Green For Life,21,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area II,14466978.7851563,22529.9439385036
36,FRIDAY,AREA 3,2008-05-30T00:00:00.000Z, ,Green For Life,14,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area II,8747589.53515625,14266.5242419497
37,WEDNESDAY,AREA 6,2016-05-06T00:00:00.000Z, ,REgroup,37,Interactive,Solid Waste,Bi-Weekly Zone B,902-864-8822,Y,Area I,22253600.4921875,22615.2718021589
38,WEDNESDAY,AREA 1,2006-10-30T00:00:00.000Z, ,REgroup,3,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area I,13633700.0859375,16783.3517341648
39,MONDAY,AREA 1,2009-01-29T00:00:00.000Z, ,REgroup,1,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area I,22849881.5898438,22814.7357812462
40,TUESDAY,AREA 3,2008-05-30T00:00:00.000Z, ,Green For Life,19,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area II,94117032.0429688,54182.0530107951
41,WEDNESDAY,AREA 3,2001-07-23T00:00:00.000Z, ,Green For Life,20,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area II,7758742.984375,15830.5171419264
42,MONDAY,AREA 3,2008-05-30T00:00:00.000Z, ,Green For Life,18,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area II,242224789.960938,81687.988146809
43,MONDAY,AREA 7,2015-09-09T00:00:00.000Z, ,Leo J Beazley,44,Interactive,Solid Waste,Bi-Weekly Zone A,465-6053, ,Area II,336443467.84375,110421.003616201
44,TUESDAY,AREA 1,2009-01-29T00:00:00.000Z, ,REgroup,2,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area I,15852741.234375,19248.4953768832
45,THURSDAY,AREA 2,2015-07-02T00:00:00.000Z, ,REgroup,15,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area II,22522451.40625,27423.3886086966
46,MONDAY,AREA 4,2001-07-25T00:00:00.000Z, ,Green For Life,24,Interactive,Solid Waste,Bi-Weekly Zone A,902-468-9111, ,Area II,963302050.535156,228319.190741115
47,WEDNESDAY,AREA 5,2003-11-12T00:00:00.000Z, ,Green For Life,32,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area I,220873735.984375,86414.7757394293
48,THURSDAY,AREA 5,2001-09-26T00:00:00.000Z, ,Green For Life,33,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area I,27209873.5859375,30741.7108200324
49,FRIDAY,AREA 4,2001-07-25T00:00:00.000Z, ,Green For Life,27,Interactive,Solid Waste,Bi-Weekly Zone A,902-468-9111,Y,Area II,593415871.921875,116968.292283288
50,THURSDAY,AREA 6,2011-09-30T00:00:00.000Z, ,REgroup,36,Interactive,Solid Waste,Bi-Weekly Zone B,902-864-8822,Y,Area I,66450517.15625,38355.2813819463
51,TUESDAY,AREA 5,2001-09-26T00:00:00.000Z, ,Green For Life,29,Interactive,Solid Waste,Weekly,902-468-9111,Y,Area I,95460913.2773438,57809.4593382219
52,TUESDAY,AREA 2,2015-07-02T00:00:00.000Z, ,REgroup,12,Interactive,Solid Waste,Weekly,902-864-8822,Y,Area II,18704063.8867188,27061.8529368825
